id,number rooms,room type,neighborhood group,price,utilization
1002102,1,Entire home/apt,Manhattan,142,305.2636734
1002403,1,Private room,Manhattan,620,86.29466311
1002755,2,Entire home/apt,Brooklyn,368,129.2874818
1003689,1,Entire home/apt,Manhattan,204,206.5796012
1004650,1,Private room,Brooklyn,71,361.0
1005202,1,Private room,Brooklyn,1060,25.84410506
1005754,1,Private room,Manhattan,1018,37.27522011
1006859,1,Entire home/apt,Manhattan,319,169.454695
1007411,1,Entire home/apt,Manhattan,606,131.8109445
1007964,1,Private room,Manhattan,714,84.46922082
1008516,1,Private room,Brooklyn,580,76.21378944
1009068,1,Private room,Manhattan,149,242.6612666
1022323,2,Entire home/apt,Brooklyn,1097,81.87560346
1022876,1,Private room,Brooklyn,1020,18.9230119
1023428,1,Shared room,Manhattan,1010,0.0
1023980,1,Private room,Manhattan,563,57.65191466
1024533,4,Entire home/apt,Brooklyn,370,126.2112498
1025637,1,Private room,Manhattan,856,37.72872431
1060984,1,Entire home/apt,Brooklyn,589,76.58880153
1061537,1,Private room,Manhattan,839,43.31671739
1062641,1,Private room,Manhattan,66,362.0
1063194,1,Private room,Brooklyn,761,74.93299481
1063746,1,Entire home/apt,Manhattan,523,80.02865988
1064298,1,Entire home/apt,Brooklyn,631,76.46016097
1074240,1,Entire home/apt,Manhattan,329,141.4162196
1074792,1,Private room,Brooklyn,1125,24.58503337
1075344,1,Entire home/apt,Manhattan,1099,60.73779281
1076449,1,Entire home/apt,Manhattan,263,145.5385964
1077001,1,Private room,Brooklyn,96,299.0190198
1083629,1,Private room,Brooklyn,1133,6.247477506
1084181,1,Private room,Brooklyn,162,159.8615251
1084733,1,Private room,Manhattan,944,79.57663614
1085286,1,Private room,Brooklyn,505,90.8958417
1085838,1,Private room,Brooklyn,113,248.2110857
1091913,1,Private room,Brooklyn,385,63.19550471
1092466,4,Entire home/apt,Manhattan,950,87.39700845
1093018,1,Entire home/apt,Brooklyn,374,135.1742528
1093570,2,Entire home/apt,Manhattan,375,151.2594236
1094675,2,Entire home/apt,Brooklyn,842,104.1727811
1095779,1,Private room,Brooklyn,503,100.1229838
1096332,1,Private room,Bronx,483,58.55226459
1096884,1,Entire home/apt,Brooklyn,176,226.8528448
1097436,1,Private room,Manhattan,185,194.9618752
1097989,2,Entire home/apt,Manhattan,387,149.7840057
1098541,1,Private room,Brooklyn,1155,32.78130423
1099093,2,Entire home/apt,Manhattan,665,108.9755729
1099645,1,Entire home/apt,Manhattan,175,231.3695378
1100198,1,Entire home/apt,Manhattan,408,106.9179369
1100750,2,Entire home/apt,Manhattan,601,93.53789877
1101302,1,Private room,Brooklyn,107,254.8382355
1101855,1,Entire home/apt,Queens,724,88.65991404
1103512,1,Entire home/apt,Brooklyn,327,122.3141411
1115662,1,Entire home/apt,Manhattan,749,103.5345585
1116214,1,Private room,Bronx,538,0.0
1116767,1,Private room,Manhattan,252,114.919555
1119528,1,Private room,Brooklyn,131,232.4378046
1120081,1,Private room,Brooklyn,444,59.96994147
1120633,4,Entire home/apt,Manhattan,1089,93.52543902
1121185,1,Entire home/apt,Brooklyn,518,134.803535
1121737,1,Private room,Manhattan,220,116.5468667
1122290,1,Entire home/apt,Queens,1133,90.89281291
1122842,1,Entire home/apt,Brooklyn,316,129.1431953
1123394,1,Entire home/apt,Manhattan,396,132.9676563
1125051,3,Entire home/apt,Manhattan,908,105.7622011
1125604,2,Entire home/apt,Manhattan,823,81.0188427
1126156,1,Private room,Manhattan,186,198.1316541
1126708,1,Private room,Brooklyn,84,315.4910462
1127260,1,Private room,Manhattan,241,153.6276216
1127813,1,Entire home/apt,Manhattan,54,364.0
1128365,2,Entire home/apt,Queens,656,89.20385752
1128917,3,Entire home/apt,Brooklyn,509,133.4799211
1130022,1,Entire home/apt,Manhattan,588,90.7326896
1130574,1,Entire home/apt,Manhattan,228,187.7364387
1131127,1,Entire home/apt,Manhattan,874,79.85564263
1132231,1,Private room,Manhattan,1127,22.49724071
1136097,1,Private room,Manhattan,1076,51.01823154
1136650,1,Private room,Manhattan,956,28.12651412
1137202,1,Entire home/apt,Manhattan,81,362.0
1141068,1,Entire home/apt,Manhattan,1067,91.69372055
1141620,2,Entire home/apt,Manhattan,794,86.80805956
1142173,3,Entire home/apt,Brooklyn,842,105.8921433
1142725,1,Private room,Brooklyn,1164,47.3822333
1153219,4,Entire home/apt,Manhattan,1127,53.9495854
1153771,1,Private room,Brooklyn,368,117.3289214
1154323,1,Private room,Brooklyn,679,78.44139769
1154875,3,Entire home/apt,Manhattan,850,102.8267595
1163712,1,Private room,Manhattan,643,104.7018151
1164817,2,Entire home/apt,Brooklyn,961,25.6315731
1165369,2,Entire home/apt,Manhattan,544,122.5722281
1165921,3,Entire home/apt,Brooklyn,523,103.2428955
1166474,1,Private room,Brooklyn,614,43.02899719
1167578,1,Entire home/apt,Manhattan,61,361.0
1168131,1,Private room,Brooklyn,901,79.84510079
1169235,1,Private room,Manhattan,783,21.94929145
1169788,1,Entire home/apt,Manhattan,69,365.0
1171997,1,Entire home/apt,Brooklyn,784,82.07632454
1172549,2,Entire home/apt,Bronx,55,362.0
1173101,3,Entire home/apt,Manhattan,989,64.88202595
1173654,1,Private room,Brooklyn,1029,3.747798211
1174206,1,Entire home/apt,Brooklyn,291,157.6085792
1174758,3,Entire home/apt,Brooklyn,787,104.4393764
1175311,1,Entire home/apt,Manhattan,269,200.9553348
1175863,1,Entire home/apt,Manhattan,725,61.37788208
1176415,1,Entire home/apt,Queens,612,125.6298449
1176967,1,Private room,Brooklyn,920,41.02454017
1178072,4,Entire home/apt,Manhattan,824,109.1859897
1178624,4,Entire home/apt,Brooklyn,1038,79.64523903
1179177,1,Private room,Brooklyn,1074,19.68720344
1180281,2,Entire home/apt,Brooklyn,162,239.6924411
1181386,1,Private room,Brooklyn,566,82.82315191
1200164,1,Private room,Manhattan,50,365.0
1201269,1,Entire home/apt,Brooklyn,575,122.6262727
1202373,1,Entire home/apt,Manhattan,52,362.0
1203478,1,Private room,Brooklyn,68,365.0
1204030,2,Entire home/apt,Manhattan,549,60.09892399
1204582,1,Private room,Queens,438,98.301491
1205135,1,Entire home/apt,Brooklyn,490,110.3498583
1206239,4,Entire home/apt,Brooklyn,1170,86.27819898
1206792,2,Entire home/apt,Brooklyn,753,80.24701938
1207344,1,Entire home/apt,Manhattan,369,187.6061815
1207896,1,Entire home/apt,Manhattan,508,155.239841
1209001,1,Private room,Manhattan,947,40.57868111
1209553,3,Entire home/apt,Manhattan,857,131.2224296
1210658,1,Private room,Brooklyn,536,84.43300724
1211210,1,Private room,Manhattan,690,91.66054851
1211762,3,Entire home/apt,Brooklyn,971,57.52364403
1212315,2,Entire home/apt,Manhattan,696,122.5457456
1212867,2,Entire home/apt,Manhattan,1188,89.54332197
1215628,4,Entire home/apt,Brooklyn,1042,69.9716999
1216733,1,Private room,Manhattan,409,91.35383343
1217285,1,Private room,Manhattan,121,309.1015024
1217838,1,Entire home/apt,Brooklyn,788,80.26569544
1218390,4,Entire home/apt,Brooklyn,586,95.29199422
1218942,1,Entire home/apt,Brooklyn,608,135.0556652
1219495,2,Entire home/apt,Manhattan,964,91.61297417
1220047,1,Entire home/apt,Manhattan,154,245.0850249
1220599,1,Private room,Brooklyn,132,209.220108
1221151,1,Private room,Brooklyn,779,74.68177523
1221704,1,Entire home/apt,Manhattan,619,115.5216292
1222256,1,Private room,Manhattan,1155,73.86875616
1233854,1,Entire home/apt,Manhattan,874,60.37600498
1234407,1,Entire home/apt,Manhattan,589,77.52954517
1234959,1,Entire home/apt,Manhattan,725,77.45053031
1241034,2,Entire home/apt,Bronx,811,52.13341637
